carrier,lat,lon
Monoprix,48.849522,2.399345
Monoprix,43.553303,7.018594
Monoprix,50.35841,3.521791
Monoprix,48.846897,2.213776
Monoprix,43.288126,5.382842
Monoprix,43.301246,5.369896
Monoprix,43.673459,7.189871
Monoprix,48.857607,2.279642
Monoprix,48.827788,2.115329
Monoprix,43.54558,6.939984
Monoprix,48.837689,2.351537
Monoprix,43.721956,7.27567
Monoprix,48.8283381,2.344122
Monoprix,48.824231,2.274078
Monoprix,48.568128,7.758231
Monoprix,48.878122,2.295168
Monoprix,48.9103697,2.2906369
Monoprix,48.8437313,2.3057479
Monoprix,48.838681,2.360456
Monoprix,48.896638,2.237081
Monoprix,48.832483,2.315663
Monoprix,48.811813,2.510276
Monoprix,48.881252,2.238588
Monoprix,48.881938,2.27138
Monoprix,48.827194,2.277444
Monoprix,48.9103697,2.2906369
Monoprix,43.580574,7.120234
Monoprix,48.902893,2.268372
Monoprix,48.906734,2.244918
Monoprix,48.88607,2.383377
Monoprix,45.763342,4.836058
Monoprix,48.584035,7.746733
Monoprix,45.762126,4.856676
Monoprix,48.971225,2.258613
Monoprix,48.881969,2.315748
Monoprix,43.285056,5.375212
Monoprix,43.296059,5.37744
Monoprix,45.774887,4.80517
Monoprix,45.76984,4.88012
Monoprix,50.663896,3.10231
Monoprix,45.776168,4.830113
Monoprix,48.833227,2.364499
Monoprix,48.851035,2.342723
Monoprix,48.914364,2.274365
Monoprix,48.807559,2.236307
Monoprix,43.304356,5.367926
Monoprix,48.841399,2.287531
Monoprix,48.829334,2.3222775
Monoprix,48.821123,2.413798
Monoprix,48.914281,2.379927
Monoprix,43.719228,7.257252
Monoprix,48.82442,2.358881
Monoprix,43.702383,7.267004
Monoprix,48.893996,2.341873
Monoprix,43.183908,5.605747
Monoprix,48.905884,2.33133
Monoprix,50.63478,3.06645
Monoprix,48.907845,2.262123
Monoprix,48.848008,2.261861
Monoprix,48.923876,2.2531
Monoprix,48.868485,2.227521
Monoprix,45.749388,4.853906
Monoprix,48.846152,2.388346
Monoprix,48.809509,2.190163
Monoprix,48.8938669,2.3339073
Monoprix,45.715693,4.808895
Monoprix,48.853472,2.332656
Monoprix,51.032613,2.375885
Monoprix,48.868752,2.401644
Monoprix,48.8923047,2.2905715
Monoprix,48.873653,2.181289
Monoprix,48.836715,2.294758
Monoprix,48.779983,2.314214
Monoprix,48.874925,2.388659
Monoprix,48.793684,2.366223
Monoprix,48.99106,2.290317
Monoprix,48.866184,2.361511
Monoprix,48.848355,2.283546
Monoprix,48.829049,2.323674
Monoprix,48.991975,2.166817
Monoprix,43.700816,7.279273
Monoprix,48.834397,2.24318
Monoprix,48.894449,2.195697
Monoprix,48.9103697,2.2906369
Monoprix,48.840597,2.233429
Monoprix,48.865755,2.351981
Monoprix,48.8776452,2.3948407
Monoprix,48.8300022,2.3775302
Monoprix,48.848862,2.297547
Monoprix,48.8413754,2.3221834
Monoprix,48.8114,2.329087
Monoprix,48.856874,2.379611
Monoprix,48.903399,2.48002
La Poste,47.965398,-1.796306
La Poste,50.669293,1.834769
La Poste,43.8678305,5.14367416
La Poste,48.634099,7.449835
La Poste,43.350083,1.477303
La Poste,47.438374,-0.218397
La Poste,47.214799,-1.565329
La Poste,48.040575,3.057162
La Poste,43.979563,4.904828
La Poste,48.524595,2.680588
La Poste,43.2934,5.5665
